2,1,1,0.0
2,500,1,0.0
2,1000,1,0.0
2,1500,1,0.0
2,2000,1,0.0
2,2500,1,0.0
2,1,2,0.0
2,500,2,0.0
2,1000,2,0.0
2,1500,2,0.0
2,2000,2,0.0
2,2500,2,0.0
2,1,3,0.0
2,500,3,0.0
2,1000,3,0.0
2,1500,3,0.0
2,2000,3,0.0
2,2500,3,0.0
2,1,4,0.0
2,500,4,0.0
2,1000,4,0.0
2,1500,4,0.0
2,2000,4,0.0
2,2500,4,0.0
2,1,5,0.0
2,500,5,0.0
2,1000,5,0.0
2,1500,5,0.0
2,2000,5,0.0
2,2500,5,0.0
2,1,6,0.0
2,500,6,0.0
2,1000,6,0.0
2,1500,6,0.0
2,2000,6,0.0
2,2500,6,0.0
2,1,7,0.0
2,500,7,0.0
2,1000,7,0.0
2,1500,7,0.0
2,2000,7,0.0
2,2500,7,0.0
2,1,8,0.0
2,500,8,0.0
2,1000,8,0.0
2,1500,8,0.0
2,2000,8,0.0
2,2500,8,0.0
2,1,9,0.0
2,500,9,0.0
2,1000,9,0.0
2,1500,9,0.0
2,2000,9,0.0
2,2500,9,0.0
2,1,10,0.0
2,500,10,0.0
2,1000,10,0.0
2,1500,10,0.0
2,2000,10,0.0
2,2500,10,0.0
2,1,11,0.0
2,500,11,0.0
2,1000,11,0.0
2,1500,11,0.0
2,2000,11,0.0
2,2500,11,0.0
2,1,12,0.0
2,500,12,0.0
2,1000,12,0.0
2,1500,12,0.0
2,2000,12,0.0
2,2500,12,0.0
2,1,1,0.1
2,500,1,0.1
2,1000,1,0.1
2,1500,1,0.1
2,2000,1,0.1
2,2500,1,0.1
2,1,2,0.1
2,500,2,0.1
2,1000,2,0.1
2,1500,2,0.1
2,2000,2,0.1
2,2500,2,0.1
2,1,3,0.1
2,500,3,0.1
2,1000,3,0.1
2,1500,3,0.1
2,2000,3,0.1
2,2500,3,0.1
2,1,4,0.1
2,500,4,0.1
2,1000,4,0.1
2,1500,4,0.1
2,2000,4,0.1
2,2500,4,0.1
2,1,5,0.1
2,500,5,0.1
2,1000,5,0.1
2,1500,5,0.1
2,2000,5,0.1
2,2500,5,0.1
2,1,6,0.1
2,500,6,0.1
2,1000,6,0.1
2,1500,6,0.1
2,2000,6,0.1
2,2500,6,0.1
2,1,7,0.1
2,500,7,0.1
2,1000,7,0.1
2,1500,7,0.1
2,2000,7,0.1
2,2500,7,0.1
2,1,8,0.1
2,500,8,0.1
2,1000,8,0.1
2,1500,8,0.1
2,2000,8,0.1
2,2500,8,0.1
2,1,9,0.1
2,500,9,0.1
2,1000,9,0.1
2,1500,9,0.1
2,2000,9,0.1
2,2500,9,0.1
2,1,10,0.1
2,500,10,0.1
2,1000,10,0.1
2,1500,10,0.1
2,2000,10,0.1
2,2500,10,0.1
2,1,11,0.1
2,500,11,0.1
2,1000,11,0.1
2,1500,11,0.1
2,2000,11,0.1
2,2500,11,0.1
2,1,12,0.1
2,500,12,0.1
2,1000,12,0.1
2,1500,12,0.1
2,2000,12,0.1
2,2500,12,0.1
3,1,1,0.0
3,500,1,0.0
3,1000,1,0.0
3,1500,1,0.0
